Level 1: Case Type,Case type Definition,Case type Definition - Old,Level 2: Issue Type,Issue type Definition - Old,issue Type Definition,Level 3: Reason,Reason Definition - Old,Reason Definition
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Webhooks,Queries about webhooks,Queries about webhooks,Signature Verification OR Delivery Failure,If the merchant is asking about how to verify their webhook signature then select this,"Select this category if the merchant reports webhook delivery issues, including: Delivery Latency, missed notifications/callbacks for specific events (like entity creation), synchronization failures where a Status Mismatch occurs because the webhook never arrived to update their system, dispatch timing investigations, or timeouts where the merchant questions if the webhook failed to sync a successful capture to their dashboard. Also select this for signature verification issues, including: questions about security headers, source IP verification, how to cryptographically verify the webhook signature, the secret key, the hashing algorithm used, or why their local verification logic is failing to authenticate the incoming request."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Webhooks,Queries about webhooks,Queries about webhooks,Missing Webhook data,If the merchant is asking about missing data for webhooks then select this,"Select this category if the merchant reports inconsistent metadata, such as a missing orderId, or specifically points out that the Payload Data Format does not match their expectations. This definition applies when the webhook was successfully delivered, but the content inside was incomplete or incorrect, necessitating an investigation into why specific fields were excluded from the payload."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Environment,Queries about sandbox,"IF the issue involves transaction failures, configuration problems, or testing specifically within the Sandbox/Test environments, THEN select this.",Sandbox Issue,IF the issue is about the non-production/testing environment THEN select this.,IF the issue is about the non-production/testing environment THEN select this.
DATA AND ANALYTICS,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.","Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report, issues with the report data.",Reporting,Queries about Reports and data within,Queries about Reports and data within,Report Not Generated/Missing,IF a scheduled or manual report has failed to appear in the dashboard THEN select this.,"IF the merchant is unable to successfully generate, download, or access a specific report for any reason. Select this for issues regarding file availability, download failures, missing formats, or requests for manual extraction due to dashboard access limitations."
DATA AND ANALYTICS,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.","Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report, issues with the report data.",Reporting,Queries about Reports and data within,Queries about Reports and data within,Data Mismatch/Missing,IF there is a discrepancy or data gap in reports THEN select this.,IF there is a discrepancy or data gap in reports THEN select this.
DATA AND ANALYTICS,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.","Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report, issues with the report data.",Reporting,Queries about Reports and data within,Queries about Reports and data within,Custom Report Request,IF the merchant requires a specific data set or column configuration not available by default THEN select this.,IF the merchant requires a specific data set or column configuration not available by default THEN select this.
DATA AND ANALYTICS,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.","Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report, issues with the report data.",Reporting,Queries about Reports and data within,Queries about Reports and data within,SFTP Configuration,If a merchant is asking about reporting using SFTP then select this,If a merchant is asking about reporting using SFTP then select this
PLATFORMS,"**Definition:** Covers Independent Software Vendors (ISVs) utilizing Checkout.com’s Integrated Platforms product to embed payments.
 

 **Includes:**
 * Sub-Merchant Onboarding: document upload errors, KYC verification, account activation where Checkout.com manages the risk.
 * Transfers & Splits: failed distributions, incorrect fund allocations between the platform and its sub-merchants.
 

 **Key Distinctions:**
 * The ""Platform Trap"": Use this ONLY when explicitly dealing with marketplace/ISV AND sub-merchants, splits/transfers, or sub-merchant onboarding.",Refers to onboarding merchants or sub merchants to a platform. Includes the verification of these merchants and errors or documentation issues found. ,Sub-Merchant onboarding,Queries about onboarding merchants,Queries about onboarding merchants,Merchant activation and verification,"IF issues relate to the KYC, verification, or creation of a sub-merchant THEN select this.","IF issues relate to the KYC, verification, or creation of a sub-merchant THEN select this."
PLATFORMS,"**Definition:** Covers Independent Software Vendors (ISVs) utilizing Checkout.com’s Integrated Platforms product to embed payments.
 

 **Includes:**
 * Sub-Merchant Onboarding: document upload errors, KYC verification, account activation where Checkout.com manages the risk.
 * Transfers & Splits: failed distributions, incorrect fund allocations between the platform and its sub-merchants.
 

 **Key Distinctions:**
 * The ""Platform Trap"": Use this ONLY when explicitly dealing with marketplace/ISV AND sub-merchants, splits/transfers, or sub-merchant onboarding.",Refers to onboarding merchants or sub merchants to a platform. Includes the verification of these merchants and errors or documentation issues found. ,Sub-Merchant onboarding,Queries about onboarding merchants,Queries about onboarding merchants,Doc Upload Error,IF issues relate to the sub merchant document upload then select this,IF issues relate to the sub merchant document upload then select this
PLATFORMS,"**Definition:** Covers Independent Software Vendors (ISVs) utilizing Checkout.com’s Integrated Platforms product to embed payments.
 

 **Includes:**
 * Sub-Merchant Onboarding: document upload errors, KYC verification, account activation where Checkout.com manages the risk.
 * Transfers & Splits: failed distributions, incorrect fund allocations between the platform and its sub-merchants.
 

 **Key Distinctions:**
 * The ""Platform Trap"": Use this ONLY when explicitly dealing with marketplace/ISV AND sub-merchants, splits/transfers, or sub-merchant onboarding.",Refers to onboarding merchants or sub merchants to a platform. Includes the verification of these merchants and errors or documentation issues found. ,Transfers & Splits,Queries about Transfers to merchants,Queries about Transfers to merchants,Transfer or split Failed,IF funds were not distributed correctly between the platform and sub-merchant THEN select this.,IF funds were not distributed correctly between the platform and sub-merchant THEN select this.
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Refers to Issuing related issues. Includes physical or virtual card issues and controls on these cards,Card Management,Queries about managing cards,Queries about managing cards,Create / Activate Card,IF merchant is having trouble setting up or enabling a new card THEN select this.,IF merchant is having trouble setting up or enabling a new card THEN select this.
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Refers to Issuing related issues. Includes physical or virtual card issues and controls on these cards,Card Management,Queries about managing cards,Queries about managing cards,Revoke / Suspend,IF merchant needs to cancel or temporarily freeze an active card THEN select this.,IF merchant needs to cancel or temporarily freeze an active card THEN select this.
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Refers to Issuing related issues. Includes physical or virtual card issues and controls on these cards,Card Management,Queries about managing cards,Queries about managing cards,Spend Controls,IF query is about adjusting limits or blocking specific categories (MCC) THEN select this.,IF query is about adjusting limits or blocking specific categories (MCC) THEN select this.
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Refers to Issuing related issues. Includes physical or virtual card issues and controls on these cards,Logistics,Queries about card deliveries,Queries about card deliveries,Physical Card Delivery,IF merchant is checking status or reporting a card lost in the mail THEN select this.,IF merchant is checking status or reporting a card lost in the mail THEN select this.
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",,Issuing Digital Wallets,,Queries about adding issued cards to Apple Pay or Google Pay,Apple Pay/Google Pay,,"IF a cardholder cannot add their issued card to Apple Pay or Google Pay, or the card is not working correctly in their digital wallet (e.g., provisioning failures, token errors) THEN select this.
"
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",,Mobile App / SDK,,Queries about the Issuing mobile SDK,Issuing SDK Integration / Upgrade,,"IF the merchant is integrating, upgrading, or troubleshooting the Issuing mobile SDK THEN select this.
"
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",,"Issuing Transactions, Money & Reports",,"Questions about card transactions, settlement, fees, or balance",Issuing Balance,,"IF the merchant has questions about card funding balance, available funds per currency, insufficient funds errors, or operational reserves THEN select this.
"
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",,"Issuing Transactions, Money & Reports",,"Questions about card transactions, settlement, fees, or balance",Issuing Settlement & Reconciliation,,"IF the merchant has questions about issuing settlement timing, report mismatches, or reconciliation issues THEN select this.
"
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",,"Issuing Transactions, Money & Reports",,"Questions about card transactions, settlement, fees, or balance",Issuing Fees,,"IF the merchant has questions about issuing fees (Interchange, scheme fees, CKO fees) THEN select this.
"
ISSUING,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",,"Issuing Transactions, Money & Reports",,"Questions about card transactions, settlement, fees, or balance",Issuing Transaction Declined / Unexpected Behavior,,IF the merchant needs to understand why an issued card transaction was declined or behaved unexpectedly THEN select this.
ACCOUNT MANAGEMENT & ACCESS,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.","Refers to access to the Dashboard or Portal to use a feature or making changes to their account. Includes login issues or missing permissions, audit logs and account configuration changes to things like bank accounts.",Login & Access,Queries about Dashboard login failures or setup,Queries about Dashboard login failures or setup,Login Error / MFA / SSO,"IF merchant cannot enter the Dashboard (Password, MFA, SSO error) THEN select this.","IF merchant cannot enter the Dashboard due to password issues, MFA/2FA problems, SSO errors, or requires assistance setting up or troubleshooting SAML/Single Sign-On configuration THEN select this"
ACCOUNT MANAGEMENT & ACCESS,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.","Refers to access to the Dashboard or Portal to use a feature or making changes to their account. Includes login issues or missing permissions, audit logs and account configuration changes to things like bank accounts.",Login & Access,Queries about Dashboard login failures or setup,Queries about Dashboard login failures or setup,User Permissions,IF adding/removing merchants or changing what a specific merchant can see/do THEN select this.,IF adding/removing merchants or changing what a specific merchant can see/do THEN select this.
ACCOUNT MANAGEMENT & ACCESS,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.","Refers to access to the Dashboard or Portal to use a feature or making changes to their account. Includes login issues or missing permissions, audit logs and account configuration changes to things like bank accounts.",Login & Access,Queries about Dashboard login failures or setup,Queries about Dashboard login failures or setup,Dashboard user audit evidence,IF merchant wants an audit log of who performed which action in the portal THEN select this.,IF merchant wants an audit log of who performed which action in the portal THEN select this.
ACCOUNT MANAGEMENT & ACCESS,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",,Login & Access,,Queries about Dashboard login failures or setup,Dashboard Error,,"F the merchant reports a Dashboard page or feature that fails to load, displays an error message or error code, or behaves unexpectedly after successful login such as pages showing ""Unable to load"", transaction details not opening, or specific Dashboard sections returning errors THEN select this. Do NOT select this for login/authentication failures (use Login Error / 2FA) or permission-related access issues (use User Permissions)."
ACCOUNT MANAGEMENT & ACCESS,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.","Refers to access to the Dashboard or Portal to use a feature or making changes to their account. Includes login issues or missing permissions, audit logs and account configuration changes to things like bank accounts.",Account changes,Queries about making overall Account changes,"Requests regarding overall Account changes such as the merchant entity's commercial terms, structural platform configuration, or lifecycle status. Also select this for configuration updates, including retrieving identifiers or correcting settings like Billing Descriptors and MCCs.",Pricing Change,IF merchant is requesting to update their contract or commission rates THEN select this.,IF merchant is requesting to update their contract or commission rates THEN select this.
ACCOUNT MANAGEMENT & ACCESS,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.","Refers to access to the Dashboard or Portal to use a feature or making changes to their account. Includes login issues or missing permissions, audit logs and account configuration changes to things like bank accounts.",Account changes,Queries about making overall Account changes,"Requests regarding overall Account changes such as the merchant entity's commercial terms, structural platform configuration, or lifecycle status. Also select this for configuration updates, including retrieving identifiers or correcting settings like Billing Descriptors and MCCs.",Account settings update,"IF changing or adding account settings such as but not limited to bank info, legal address, or contact details, payment methods, billing descriptor THEN select this.","IF the request involves configuring processing channels (e.g., new MIDs, environment setup), retrieving account identifiers (e.g., BINs, MCCs), changing account status (e.g., activation, restriction), or updating administrative profile details (bank info, legal address), THEN select this."
ACCOUNT MANAGEMENT & ACCESS,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.","Refers to access to the Dashboard or Portal to use a feature or making changes to their account. Includes login issues or missing permissions, audit logs and account configuration changes to things like bank accounts.",Account changes,Queries about making overall Account changes,"Requests regarding overall Account changes such as the merchant entity's commercial terms, structural platform configuration, or lifecycle status. Also select this for configuration updates, including retrieving identifiers or correcting settings like Billing Descriptors and MCCs.",Terminations,IF merchant explicitly asks to Terminate or close their account THEN select this.,IF merchant explicitly asks to Terminate or close their account THEN select this.
FEEDBACK,"**Definition:** Sentiment and product suggestions.
 

 **Includes:** Feature requests, feature usage questions, ""Thank you"" messages, resolved confirmations.",Refers to feedback provided on missing feature or product,Product Feedback,Queries about providing feedback about the features offered by Checkout and how to request or use them,Queries about providing feedback about the features offered by Checkout and how to request or use them,Feature request,IF merchant suggests a new functionality that does not currently exist THEN select this,IF merchant suggests a new functionality that does not currently exist THEN select this
FEEDBACK,"**Definition:** Sentiment and product suggestions.
 

 **Includes:** Feature requests, feature usage questions, ""Thank you"" messages, resolved confirmations.",Refers to feedback provided on missing feature or product,Product Feedback,Queries about providing feedback about the features offered by Checkout and how to request or use them,Queries about providing feedback about the features offered by Checkout and how to request or use them,Feature usage,"IF merchant asks ""How do I use this existing feature?"" THEN select this.","IF merchant asks ""How do I use this existing feature?"" THEN select this."
COMPLIANCE & AUDIT,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",Refers to request for documentation for audit purposes,Compliance Evidence,Queries about requesting compliance documentation from Checkout,Queries about requesting compliance documentation from Checkout,PCI / AOC Request,IF merchant asks for security compliance certificates (AOC/PCI-DSS) THEN select this.,IF merchant asks for security compliance certificates (AOC/PCI-DSS) THEN select this.
COMPLIANCE & AUDIT,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",Refers to request for documentation for audit purposes,Compliance Evidence,Queries about requesting compliance documentation from Checkout,Queries about requesting compliance documentation from Checkout,Audit request,IF query is for formal audit evidence or due diligence questionnaires THEN select this.,IF query is for formal audit evidence or due diligence questionnaires THEN select this.
COMPLIANCE & AUDIT,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",,Compliance Evidence,,Queries about requesting compliance documentation from Checkout,Sensitive Data Request,,"IF the merchant requests sensitive customer information such as full PAN (Primary Account Number), unmasked card numbers, or other protected cardholder data, typically in response to legal authorities, law enforcement, regulatory bodies, or court orders THEN select this.
"
COMPLIANCE & AUDIT,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",Refers to request for documentation for audit purposes,Other Compliance,Queries about requesting compliance documentation from Checkout,Queries about requesting compliance documentation from Checkout,Other compliance docs,,
GENERAL,"**Definition:** Refers to general inquiries which do not fit other case types.
 

 **Includes:** sales inquiries, spam, duplicate tickets (no action needed), empty/OOO/no-action messages.",Refers to general inquiries which do not fit other Case types,Inquiries,Queries about buying our services or Sales or anything else,Queries about buying our services or Sales or anything else,Sales inquiry,IF a prospect wants to buy services or add new products THEN select this.,IF a prospect wants to buy services or add new products THEN select this.
GENERAL,"**Definition:** Refers to general inquiries which do not fit other case types.
 

 **Includes:** sales inquiries, spam, duplicate tickets (no action needed), empty/OOO/no-action messages.",Refers to general inquiries which do not fit other Case types,Inquiries,Queries about buying our services or Sales or anything else including general follow ups ,Queries about buying our services or Sales or anything else including general follow ups ,Spam / Duplicate / No action / Follow Ups,"IF the ticket is spam, empty, an OOO reply, or an accidental double-post THEN select this.","IF the ticket is spam, empty, a follow up. an OOO reply, or an accidental double-post THEN select this."
IDENTITY VERIFICATION,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",,Verification and technical support,,,Verification Inquiry,,"Queries about specific identity verification results, including requests to correct extracted data (name, DOB), re-verification due to suspected fraud, understanding why a verification was rejected, or inquiries about a specific IDV ID."
IDENTITY VERIFICATION,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",,"Security, Privacy and Compliance",,,Data Privacy,,"Requests related to data privacy rights, including data deletion/erasure requests (GDPR), requests for copies of personal data, identity theft reports, or questions about privacy policy and data handling."
