Level 1: Case Type,Case type definition,Level 2: Issue Type,Level 2: Issue Type definition,Level 3: Reason,Level 3: Reason definition
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Card deliveries,Queries about card deliveries,Physical card delivery,IF merchant is checking status or reporting a card lost in the mail THEN select this.
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Issuing digital wallets,Queries about adding issued cards to Apple Pay or Google Pay,Apple Pay / Google Pay,"IF a cardholder cannot add their issued card to Apple Pay or Google Pay, or the card is not working correctly in their digital wallet (e.g., provisioning failures, token errors) THEN select this.
"
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Issuing mobile SDK,Queries about the Issuing mobile SDK,Issuing SDK integration / upgrade,"IF the merchant is integrating, upgrading, or troubleshooting the Issuing mobile SDK THEN select this.
"
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.","Issuing transactions, funds and reports","Questions about card transactions, settlement, fees, or balance",Issuing balance,"IF the merchant has questions about card funding balance, available funds per currency, insufficient funds errors, or operational reserves THEN select this.
"
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.","Issuing transactions, funds and reports","Questions about card transactions, settlement, fees, or balance",Issuing settlement & reconciliation,"IF the merchant has questions about issuing settlement timing, report mismatches, or reconciliation issues THEN select this.
"
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.","Issuing transactions, funds and reports","Questions about card transactions, settlement, fees, or balance",Issuing fees,"IF the merchant has questions about issuing fees (Interchange, scheme fees, CKO fees) THEN select this.
"
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.","Issuing transactions, funds and reports","Questions about card transactions, settlement, fees, or balance",Issuing transaction declined / unexpected behavior,IF the merchant needs to understand why an issued card transaction was declined or behaved unexpectedly THEN select this.
Account management & access,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",Login & access,Queries about Dashboard login failures or setup,Login error / MFA / SSO,"IF merchant cannot enter the Dashboard due to password issues, MFA/2FA problems, SSO errors, or requires assistance setting up or troubleshooting SAML/Single Sign-On configuration THEN select this"
Account management & access,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",Login & access,Queries about Dashboard login failures or setup,User permissions,IF adding/removing merchants or changing what a specific merchant can see/do THEN select this.
Account management & access,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",Login & access,Queries about Dashboard login failures or setup,Dashboard user audit evidence,IF merchant wants an audit log of who performed which action in the portal THEN select this.
Account management & access,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",Login & access,Queries about Dashboard login failures or setup,Dashboard error,"F the merchant reports a Dashboard page or feature that fails to load, displays an error message or error code, or behaves unexpectedly after successful login such as pages showing ""Unable to load"", transaction details not opening, or specific Dashboard sections returning errors THEN select this. Do NOT select this for login/authentication failures (use Login Error / 2FA) or permission-related access issues (use User Permissions)."
Account management & access,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",Account changes,"Requests regarding overall Account changes such as the merchant entity's commercial terms, structural platform configuration, or lifecycle status. Also select this for configuration updates, including retrieving identifiers or correcting settings like Billing Descriptors and MCCs.",Pricing change,IF merchant is requesting to update their contract or commission rates THEN select this.
Account management & access,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",Account changes,"Requests regarding overall Account changes such as the merchant entity's commercial terms, structural platform configuration, or lifecycle status. Also select this for configuration updates, including retrieving identifiers or correcting settings like Billing Descriptors and MCCs.",Account settings update,"IF the request involves configuring processing channels (e.g., new MIDs, environment setup), retrieving account identifiers (e.g., BINs, MCCs), changing account status (e.g., activation, restriction), or updating administrative profile details (bank info, legal address), THEN select this."
Account management & access,"**Definition:** Refers to access to the Dashboard/Portal to use a feature, or making structural changes to the account. Includes login issues, missing permissions, audit logs, and account configuration (e.g., bank accounts). Select this if the merchant requests to add, enable, or configure specific Payment Methods (e.g., Amex, SEPA, APMs), currencies, schemes, processing channels, or to update billing/statement descriptors.
 

 **Includes:**
 * Login & Access: 2FA/login/MFA errors, user permissions, SSO configuration, activity evidence, adding/removing users, dashboard access/ownership.
 * Account Changes: pricing changes, account settings updates (bank account change, legal entity updates), terminations.
 

 **Key Distinctions:**
 * Enablement: If the merchant asks to enable/configure a payment method, currency, scheme, MID, processing channel, or to update billing/statement descriptors, select this.
 * Access Blockers: If the PRIMARY blocker is access/permissions (""can't access/view/download report/section"", missing permission), select this.",Account changes,"Requests regarding overall Account changes such as the merchant entity's commercial terms, structural platform configuration, or lifecycle status. Also select this for configuration updates, including retrieving identifiers or correcting settings like Billing Descriptors and MCCs.",Terminations,IF merchant explicitly asks to Terminate or close their account THEN select this.
Feedback,"**Definition:** Sentiment and product suggestions.
 

 **Includes:** Feature requests, feature usage questions, ""Thank you"" messages, resolved confirmations.",Product feedback,Queries about providing feedback about the features offered by Checkout and how to request or use them,Feature request,IF merchant suggests a new functionality that does not currently exist THEN select this
Feedback,"**Definition:** Sentiment and product suggestions.
 

 **Includes:** Feature requests, feature usage questions, ""Thank you"" messages, resolved confirmations.",Product feedback,Queries about providing feedback about the features offered by Checkout and how to request or use them,Feature usage,"IF merchant asks ""How do I use this existing feature?"" THEN select this."
Compliance & audit,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",Compliance evidence,Queries about requesting compliance documentation from Checkout,PCI / AOC request,IF merchant asks for security compliance certificates (AOC/PCI-DSS) THEN select this.
Compliance & audit,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",Compliance evidence,Queries about requesting compliance documentation from Checkout,Audit request,IF query is for formal audit evidence or due diligence questionnaires THEN select this.
Compliance & audit,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",Compliance evidence,Queries about requesting compliance documentation from Checkout,Sensitive data request,"IF the merchant requests sensitive customer information such as full PAN (Primary Account Number), unmasked card numbers, or other protected cardholder data, typically in response to legal authorities, law enforcement, regulatory bodies, or court orders THEN select this.
"
Compliance & audit,"**Definition:** Refers to requests for documentation for audit/compliance purposes.
 

 **Includes:** PCI / AOC requests, audit requests, due diligence questionnaires.",Compliance evidence,Queries about requesting compliance documentation from Checkout,Other compliance docs,
General,"**Definition:** Refers to general inquiries which do not fit other case types.
 

 **Includes:** sales inquiries, spam, duplicate tickets (no action needed), empty/OOO/no-action messages.",Inquiries,Queries about buying our services or Sales or anything else,Sales inquiry,IF a prospect wants to buy services or add new products THEN select this.
General,"**Definition:** Refers to general inquiries which do not fit other case types.
 

 **Includes:** sales inquiries, spam, duplicate tickets (no action needed), empty/OOO/no-action messages.",Inquiries,Queries about buying our services or Sales or anything else including general follow ups ,Spam / duplicate / no action / follow ups,"IF the ticket is spam, empty, a follow up. an OOO reply, or an accidental double-post THEN select this."
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",Verification and technical support,"Review rejected verifications, update configurations and resolve technical errors.",Verification inquiry,"Queries about specific identity verification results, including requests to correct extracted data (name, DOB), re-verification due to suspected fraud, understanding why a verification was rejected, or inquiries about a specific IDV ID."
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",Verification and technical support,"Review rejected verifications, update configurations and resolve technical errors.",Setup support,"Queries about IDV configuration and onboarding, including adding or removing accepted document types or countries, dashboard access, certificate management (mTLS), or customization options."
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",Verification and technical support,"Review rejected verifications, update configurations and resolve technical errors.",Technical & platform,"Technical issues with the IDV platform, including verifications stuck in pending, document capture failures, API errors, webhook issues, or integration problems."
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.","Security, privacy and compliance","Submit requests related to data privacy rights, report security incidents, or request compliance documentation.",Data privacy,"Requests related to data privacy rights, including data deletion/erasure requests (GDPR), requests for copies of personal data, identity theft reports, or questions about privacy policy and data handling."
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.","Security, privacy and compliance","Submit requests related to data privacy rights, report security incidents, or request compliance documentation.",Account & compliance,"Queries about IDV account-level compliance, regulatory requirements, or compliance certifications."
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.","Security, privacy and compliance","Submit requests related to data privacy rights, report security incidents, or request compliance documentation.",Security,"Queries related to IDV security concerns, security incidents, or security certifications."
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",Formal complaint,Submit a formal complaint about the identity verification service.,Formal complaint,Formal complaints about the IDV service requiring escalation or with legal/compliance implications.
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",N/A,Tickets that do not require action or do not fit other IDV issue types.        ,3rd party,IF the ticket was submitted by or relates to a third party and does not require IDV team action THEN select this.
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",N/A,Tickets that do not require action or do not fit other IDV issue types.        ,Automated,IF the ticket was generated automatically by a system and does not require manual action THEN select this.
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",N/A,Tickets that do not require action or do not fit other IDV issue types.        ,Follow up,IF the ticket is a follow-up to a previous request that has already been resolved THEN select this.
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",N/A,Tickets that do not require action or do not fit other IDV issue types.        ,Sales lead,IF the ticket is a sales inquiry or lead rather than a support request THEN select this.
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",N/A,Tickets that do not require action or do not fit other IDV issue types.        ,Self resolved,IF the issue was resolved by the merchant before agent intervention THEN select this.
Identity verification,"Refers to Identity Verification (IDV) product and services, which use document checks, facial recognition, and automation (with manual review where needed) to verify a person's identity. Merchants use IDV for onboarding, KYC compliance, and fraud prevention. Select this for queries about verification results, data privacy requests, platform configuration, or technical issues related to the IDV product.",N/A,Tickets that do not require action or do not fit other IDV issue types.        ,Spam,IF the ticket is spam or irrelevant THEN select this.
No action required,Manual only by Agents,Duplicate,,,
No action required,Manual only by Agents,Spam,,,
No action required,Manual only by Agents,Sales Enquiry,,,
Non-merchant requests,Manual only by Agents,Cardholder Complaints,,,
Non-merchant requests,Manual only by Agents,Issuing Bank Requests,,,
Non-merchant requests,Manual only by Agents,Authorities,,,
Non-merchant requests,Manual only by Agents,Schemes,,,
Non-merchant requests,Manual only by Agents,TPA Requests,,,
Non-merchant requests,Manual only by Agents,Other,,,
