Field Name,Field Definition,Field Value,Value Definition,AI Summary
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20104,Gateway reject - Invalid transaction,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20105,Gateway reject - Violation,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20107,Billing address is missing,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20108,Declined - Updated cardholder available,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20109,Transaction already reversed (voided),
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20110,Authorization completed,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20111,Transaction already reversed,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20112,Merchant not Mastercard SecureCode enabled,"To optimize authentication strategy and improve authorization performance, consider the following actions: 1) Enable enhanced authentication features to strengthen payment security and reduce fraud-related declines. 2) Leverage Checkout.com’s Intelligent Acceptance to optimize the use of exceptions and preferential challenge indicators for smoother user authentication. 3) Explore Dynamic Account Funding (DAF) if you operate with a high volume of card-on-file transactions. 4) Promote wallet payments such as Apple Pay and Google Pay, which provide a 3DS-free, secure checkout experience. 5) Offer alternative payment methods (APMs) where 3DS is not required to improve conversion rates. 6) Consider setting up a non-SCA country entity for cross-border traffic, noting that this approach may impact performance and increase scheme costs"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20113,Invalid property,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20114,Token is incorrect,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20115,Missing / Invalid lifetime,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20116,Invalid encoding,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20117,Invalid API version,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20118,Transaction pending,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20119,Invalid batch data and/or batch data is missing,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20120,Invalid customer/user,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20121,Transaction limit for merchant/terminal exceeded,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20122,Mastercard installments not supported,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20123,"Missing basic data: zip, addr, member",
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20124,"Missing CVV value, required for ecommerce transaction","Prompt the user to enter the required CVV and retry. Merchant actions: ensure CVV collection is enabled for ecommerce; for trusted scenarios, Intelligent Acceptance may allow tailored flows. Reach out to your Account Manager or Support for configuration advice."
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20150,Card not 3D Secure (3DS) enabled,"Leverage Checkout.com’s Intelligent Acceptance to automatically determine when to process transactions with or without 3DS for optimal authorization performance. Additionally, ensure that 'n3DS' is correctly included in the authorization payload when sending non-3DS transaction attempts"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20151,Cardholder failed 3DS authentication,"To improve authentication performance and reduce issuer declines, consider the following actions: 1) Use Checkout.com’s Intelligent Acceptance to optimize 3DS behavior by applying exceptions and preferential challenge indicators intelligently. 2) Ensure challenge indicators are configured correctly — 'no_preference' is recommended for most transactions, except when saving a card-on-file or starting a new MIT chain, where 'challenge_requested' is preferred. Note: using 'no_challenge_requested' in France does not provide a liability shift. 3) Promote wallet payments such as Apple Pay and Google Pay, which offer a 3DS-free, secure checkout experience. 4) Offer alternative payment methods (APMs) where 3DS is not required to improve conversion rates. 5) Review and reduce potential fraud triggers that may be causing transaction failures. 6) If applicable, consider setting up a non-SCA country entity for cross-border traffic to qualify transactions as one-leg-out; however, note this may impact both performance and scheme costs. 7) Enhance the amount and quality of data sent in the authentication message to strengthen issuer trust and increase approval likelihood"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20152,Initial 3DS transaction not completed within 15 minutes,"To improve authentication performance and reduce issuer declines, consider the following actions: 1) Use Checkout.com’s Intelligent Acceptance to optimize 3DS behavior by applying exceptions and preferential challenge indicators intelligently. 2) Ensure challenge indicators are configured correctly — 'no_preference' is recommended for most transactions, except when saving a card-on-file or starting a new MIT chain, where 'challenge_requested' is preferred. Note: using 'no_challenge_requested' in France does not provide a liability shift. 3) Promote wallet payments such as Apple Pay and Google Pay, which offer a 3DS-free, secure checkout experience. 4) Offer alternative payment methods (APMs) where 3DS is not required to improve conversion rates. 5) Review and reduce potential fraud triggers that may be causing transaction failures. 6) If applicable, consider setting up a non-SCA country entity for cross-border traffic to qualify transactions as one-leg-out; however, note this may impact both performance and scheme costs. 7) Enhance the amount and quality of data sent in the authentication message to strengthen issuer trust and increase approval likelihood"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20153,3DS system malfunction,Monitor 3DS ACS status and coordinate with Support if the issue persists.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20154,3DS authentication required,"To optimize authentication performance and reduce issuer-related declines, consider the following actions: 1) Leverage Checkout.com’s Intelligent Acceptance to automatically apply exceptions and preferential challenge indicators for the best 3DS outcome. 2) Ensure challenge indicators are correctly configured — 'no_preference' is recommended for most transactions, except when saving a card-on-file or starting a new MIT chain, where 'challenge_requested' is advised. Note: using 'no_challenge_requested' in France will not result in a liability shift. 3) Promote Apple Pay and Google Pay to provide a secure, frictionless checkout experience without requiring 3DS. 4) Offer alternative payment methods (APMs) that do not require 3DS to improve conversion rates. 5) Review fraud settings to minimize potential declines triggered by issuer risk models. 6) If relevant, consider setting up a non-SCA country entity for cross-border transactions to qualify as one-leg-out; however, note this may affect both performance and scheme costs. 7) Improve the quality and completeness of data included in the authentication message to enhance issuer trust and approval rates"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20155,3DS authentication service provided invalid authentication result,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20156,Requested function not supported by the acquirer,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20157,Invalid merchant configurations - Contact Support,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20158,Refund validity period has expired,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20179,Lifecycle,"These declines occur when the transaction contains invalid or outdated card data. Review recommendation codes to determine the best recovery action: 01 – Retry with updated card details; Checkout.com’s Real-Time Account Updater can help automatically refresh card information. 02 – Retry the transaction later, as the decline may be due to insufficient funds or the user exceeding their credit limit; this can be managed automatically through Checkout.com’s Intelligent Acceptance. 03 – The issuer will not approve this transaction; do not retry to avoid unnecessary fees. Additionally, use Mastercard’s MAC codes where available to guide retry logic and determine whether another attempt is appropriate"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20182,Policy,"These declines occur when a transaction does not comply with the issuer’s card policy. Review recommendation codes to determine the appropriate next step: 01 – Retry with updated card details; Checkout.com’s Real-Time Account Updater can automatically refresh expired or replaced cards. 02 – Retry the transaction later, as the decline may be due to insufficient funds or the user exceeding their credit limit; this can be managed automatically through Checkout.com’s Intelligent Acceptance. 03 – The issuer will not approve this transaction; do not retry to avoid unnecessary scheme or gateway fees. Additionally, use Mastercard’s MAC codes where available to guide retry logic and determine whether another attempt is appropriate"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20183,Security,"These declines occur when a transaction is suspected to be fraudulent. To improve performance and reduce false declines, consider the following actions: 1) For fraud reduction, enable Checkout.com’s Fraud Detection Pro to lower fraud scores 2) For performance improvement, leverage Network Tokens to reduce fraud risk, and use Checkout.com’s Intelligent Acceptance to manage retries and intelligently optimize 3DS for CIT traffic. Strengthening authentication settings can also enhance security and reduce issuer risk rejections. 3) Increase the amount and quality of data sent in the authorization message to improve issuer confidence. 4) Review recommendation codes to identify the appropriate next step: 01 – Retry with updated details; Checkout.com’s Real-Time Account Updater can refresh card information automatically. 02 – Retry later, as the decline may be due to insufficient funds or credit limits; this can be managed automatically via Intelligent Acceptance. 03 – The issuer will not approve this transaction; avoid retries to prevent unnecessary fees. 5) Use Mastercard’s MAC codes where available to guide retry logic and determine the correct course of action. 6) Monitor fraud rates per issuer — levels above 35 bps are typically considered high and can trigger issuer machine learning systems to decline transactions more aggressively"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20193,Invalid country code,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30016,Issuer does not allow online gambling payout,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30017,Issuer does not allow original credit transaction,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30018,Issuer does not allow money transfer payout,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30019,Issuer does not allow non-money transfer payout,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30020,Invalid amount,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30021,Total amount limit reached,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30022,Total transaction count limit reached,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30035,Contact acquirer - Pick up,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30036,Restricted card - Pick up,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30037,Call acquirer security - Pick up,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30038,Allowable PIN tries exceeded - Pick up,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30044,Transaction rejected - AMLD5,"This transaction was initiated using an anonymous, non-reloadable prepaid card for an amount exceeding 50 EUR. Due to AMLD5 regulatory requirements, it cannot be processed. The issuer will not approve this transaction. To recover where possible: 1) Do not retry with the same card to avoid incurring Visa Integrity and gateway fees. 2) Encourage the user to retry using a different, compliant card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage eligible retries. 3) Offer alternative payment methods (e.g., digital wallets or local APMs) to help the user complete the transaction, while ensuring these align with your organization’s risk appetite"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30045,Invalid payout fund transfer type,"This transaction was declined because the fund transfer type is not included in the list of allowed transfer types configured by the issuer. The issuer will not approve this transaction. To recover where possible: 1) Do not retry with the same card to avoid incurring Visa Integrity and gateway fees. 2) Encourage the user to retry using a different, compliant card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage eligible retries. 3) Offer alternative payment methods (e.g., digital wallets or local APMs) to help the user complete the transaction, ensuring these options align with your organization’s risk appetite"
Response summary,Short human-readable description of the gateway response code returned for the payment action. Corresponds directly to the response code.,,The response summary is a free-text label paired with each response code. Examples: Approved / Declined - Do Not Honour / Insufficient Funds / Expired Card / Suspected Fraud / Risk Blocked Transaction / 3DS Authentication Required. Refer to the Response code field for the authoritative value.,A plain-English label describing the outcome of this payment action — read alongside the response code for the full picture.
Currency,Three-letter ISO 4217 currency code the payment was requested in (e.g. GBP / USD / EUR / OMR),,,The currency this payment was made in.
Metadata,Arbitrary key-value pairs attached to the payment by the merchant for their own reference (e.g. order ID / customer ID). Not processed by Checkout.com.,,,Custom data attached by the merchant — for example an internal order ID or customer reference.
Requested on,Timestamp when the payment request was made by the merchant (distinct from Date created which reflects gateway receipt),,,When the merchant submitted this payment request.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,A,Partial match — street address matches but postcode does not.,The street address matched but the postcode did not — partial AVS match.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,B,Partial match — street address matches but postcode not verified (international).,The street address matched but the postcode could not be verified — common for international cards.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,D,Full match — street address and postcode match (Visa international).,Both street address and postcode matched — full AVS match on a Visa international card.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,N,No match — neither street address nor postcode match.,Neither the address nor the postcode matched — AVS failed.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,S,AVS not supported by issuer.,The issuer does not support AVS checks.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,U,Address information unavailable — issuer does not participate in AVS.,The issuer does not participate in AVS — no address check was performed.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,W,Partial match — postcode matches but street address does not.,The postcode matched but the street address did not — partial AVS match.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,X,Full match — both street address and nine-digit postcode match (US only).,Both street address and nine-digit ZIP code matched — full AVS match (US cards).
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,Y,Full match — both street address and five-digit postcode match.,Both street address and postcode matched — full AVS match.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,Z,Partial match — five-digit postcode matches but street address does not.,The postcode matched but the street address did not — partial AVS match.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Visa,Local scheme is Visa.,This transaction was processed via the Visa local scheme.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Mastercard,Local scheme is Mastercard.,This transaction was processed via the Mastercard local scheme.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Mada,Saudi domestic debit scheme — applies when a Mada card is used in Saudi Arabia.,This card is a Mada card — a Saudi domestic debit scheme. Specific rules apply for refunds and processing.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Carte Bancaires,French domestic scheme — applies to co-badged cards in France.,This card is processed via the Carte Bancaires scheme — the French domestic network.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,(blank),No local scheme — transaction processed on the international scheme only.,No local scheme applies — this was processed solely on the international card network.
Card wallet type,Wallet or token service used to present the card for payment (where applicable),Apple Pay,Payment made via Apple Pay digital wallet.,The cardholder paid using Apple Pay.
Card wallet type,Wallet or token service used to present the card for payment (where applicable),Google Pay,Payment made via Google Pay digital wallet.,The cardholder paid using Google Pay.
Card wallet type,Wallet or token service used to present the card for payment (where applicable),(blank),No digital wallet used — card details entered directly.,The cardholder entered their card details directly — no digital wallet was used.
Is disputed,Indicates whether the payment has an open dispute raised by the cardholder's bank,Yes,A chargeback or pre-dispute has been raised against this payment. See dispute details.,This payment has an active dispute — check the dispute details section for deadlines and next steps.
Is disputed,Indicates whether the payment has an open dispute raised by the cardholder's bank,No,No dispute is currently open on this payment.,No dispute has been raised on this payment.
Recommendation code,Code returned by Visa or Mastercard on a declined payment indicating whether and how the merchant should retry. Only returned for Visa and Mastercard transactions.,01,Updated or additional information required — the decline may be resolved by providing updated card details or using 3DS authentication.,The scheme is asking for updated information — for example the card may have expired or authentication could help.
Recommendation code,Code returned by Visa or Mastercard on a declined payment indicating whether and how the merchant should retry. Only returned for Visa and Mastercard transactions.,02,Try again later — the decline is temporary (e.g. insufficient funds or velocity limit). Retry is appropriate after a suitable interval.,The decline is temporary — the merchant can retry this payment after waiting.
Recommendation code,Code returned by Visa or Mastercard on a declined payment indicating whether and how the merchant should retry. Only returned for Visa and Mastercard transactions.,03,Do not retry — the decline is permanent (e.g. account closed / suspected fraud / recurring agreement cancelled). Retrying will not succeed.,This payment should not be retried — the decline is permanent.
Total authorised,The total authorised amount in the payment's original currency. Reflects the sum of all successful authorisations.,,,The total amount that has been authorised for this payment.
Total captured,The total value of captures and partial captures in the payment's original currency.,,,The total amount that has actually been charged to the cardholder so far.
Total refunded,The total value of refunds and partial refunds in the payment's original currency. Does not include unreferenced refunds.,,,The total amount that has been refunded to the cardholder so far.
3DS protocol version,The version of the 3D Secure protocol used during authentication (e.g. 2.2.0 / 2.3.1),,,The version of 3DS used for authentication — relevant for understanding authentication behaviour and liability rules.
Transaction direction,Direction of the transaction flow,payin,Funds are moving from the cardholder to the merchant (standard payment).,This is an inbound payment — the cardholder paid the merchant.
Transaction direction,Direction of the transaction flow,payout,Funds are moving from the merchant to the cardholder (e.g. refund or disbursement).,This is an outbound payment — funds are being sent from the merchant to the cardholder.
Authentication status,Outcome of the payment during the authentication stage,authenticated,Authentication completed successfully.,The cardholder was successfully authenticated before this payment was processed.
Authentication status,Outcome of the payment during the authentication stage,failed,Authentication failed — the cardholder could not be verified.,Authentication failed — the cardholder could not be verified. The payment may not have proceeded.
Authentication status,Outcome of the payment during the authentication stage,expired,The authentication session expired before completion.,The authentication session timed out — the cardholder did not complete it in time.
Authentication status,Outcome of the payment during the authentication stage,rejected,Authentication was rejected by the issuer and should not be retried.,Authentication was rejected by the issuer — this payment should not be retried without a different approach.
Risk flagged,Indicates whether the payment was flagged by the risk engine for review or action,Yes,The risk engine flagged this payment based on one or more rules or score thresholds.,This payment was flagged by the risk engine — it may have been blocked or queued for review.
Risk flagged,Indicates whether the payment was flagged by the risk engine for review or action,No,The payment was not flagged by the risk engine.,This payment passed the risk engine without being flagged.
Fraud score,Numerical fraud score assigned to a specific action by the risk engine (0–100). More granular than the payment-level risk score.,,,The fraud score for this specific action — higher scores indicate greater fraud risk.
Sanction screening,Result of sanction or AML screening applied to the transaction,Approved,No sanctions matches found — payment cleared screening.,This payment passed sanctions screening — no matches were found.
Sanction screening,Result of sanction or AML screening applied to the transaction,Declined,A sanctions match was found — payment blocked.,This payment was blocked because a sanctions match was detected.
Retrieval reference number,Reference number used for dispute and chargeback lookups with the card scheme (also known as RRN). Related to but distinct from the ARN.,,,The scheme-assigned reference for retrieving this transaction — used in chargeback and dispute investigations.
Scheme merchant ID,The merchant ID assigned by the card scheme to identify the merchant in scheme-level reporting and dispute workflows.,,,The card scheme's own identifier for this merchant — used in dispute and scheme-level reporting.
Card acceptor ID,An identifier for the merchant account generated by the acquirer (also known as CAID). Used in scheme and acquirer-level reconciliation.,,,The acquirer's identifier for this merchant account — used in reconciliation and scheme reporting.
Dispute ID,Unique identifier for the dispute raised against this payment.,,,The unique reference for this dispute — use it to track and manage the chargeback.
Dispute status,Current status of the dispute,Open,The dispute has been raised and is awaiting merchant response or evidence submission.,A dispute has been opened — the merchant needs to respond or submit evidence.
Dispute status,Current status of the dispute,Evidence required,The merchant must submit evidence to contest the dispute before the deadline.,Evidence is required to contest this dispute — check the submission deadline urgently.
Dispute status,Current status of the dispute,Evidence submitted,The merchant has submitted evidence and the dispute is under review.,Evidence has been submitted — the dispute is now being reviewed by the scheme.
Dispute status,Current status of the dispute,Resolved — won,The dispute was resolved in the merchant's favour.,The dispute was resolved in the merchant's favour — no funds were lost.
Dispute status,Current status of the dispute,Resolved — lost,The dispute was resolved in the cardholder's favour. Funds returned to the cardholder.,The dispute was lost — the cardholder was refunded and the merchant is liable.
Dispute status,Current status of the dispute,Expired,The evidence submission deadline passed without a merchant response.,The evidence deadline passed without a response — the dispute was likely lost by default.
Dispute reason,Human-readable reason for the dispute raised by the cardholder's bank (e.g. Fraudulent transaction / Item not received / Duplicate charge),,,The reason the cardholder's bank gave for raising this dispute.
Dispute reason code,Scheme-specific reason code for the dispute (format varies by scheme — e.g. Visa 10.4 / Mastercard 4853),,,The scheme's standardised code for the dispute reason — used to determine the evidence required.
Dispute initiated date,Date the dispute was raised by the cardholder's bank.,,,When the cardholder's bank raised this dispute.
Submit evidence by date,Deadline by which the merchant must submit evidence to contest the dispute.,,,The deadline for the merchant to submit evidence — missing this date typically results in the dispute being lost.
Disputed amount,The amount under dispute in the payment's original currency.,,,The amount the cardholder is disputing.
